searched_hashtag,product,id,date,content,username,screen_name,user_location,city_guess,hashtags,url,url_alt,content_norm
#iklimkrizi,Latest,1962930206844367126,Tue Sep 02 17:26:45 +0000 2025,"Check out this article: İKLİM KRİZİNİN AYAK SESLERİ DUYULDU, İNGİLTERE BU YAZ ADETA KAVRULDU!... - https://t.co/7V7MBHkX2y #iklimkrizi #ingiltere #metoffice #sukıtlığı",Erdinç Şahin,kungfu1964,Aliağa//İZMİR,,,https://twitter.com/kungfu1964/status/1962930206844367126,https://x.com/i/web/status/1962930206844367126,"check out this article: i̇kli̇m kri̇zi̇ni̇n ayak sesleri̇ duyuldu, i̇ngi̇ltere bu yaz adeta kavruldu!... - https://t.co/7v7mbhkx2y #iklimkrizi #ingiltere #metoffice #sukıtlığı"
#iklimkrizi,Latest,1962899028745617797,Tue Sep 02 15:22:52 +0000 2025,"Türkiye sera gazı emisyonlarını on yılda yüzde 35 azaltabilir @ipc_ipm #seragazi #emisyon #iklimkrizi 
https://t.co/InsG6MLLQJ",Enerji Günlüğü,enerjigunlugu,ISTANBUL,istanbul,,https://twitter.com/enerjigunlugu/status/1962899028745617797,https://x.com/i/web/status/1962899028745617797,"türkiye sera gazı emisyonlarını on yılda yüzde 35 azaltabilir @ipc_ipm #seragazi #emisyon #iklimkrizi 
https://t.co/insg6mllqj"
#iklimkrizi,Latest,1962894668019974249,Tue Sep 02 15:05:32 +0000 2025,"maalesef insan bazen yaptığı tatlıdan elin oğlu da yesin istiyo
#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #TürkiyeYanıyor #HearGazasCry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet #direniş #duyuru #acilçıkış https://t.co/9SNrcH0Feb",nilayy,nilayozz9,,,,https://twitter.com/nilayozz9/status/1962894668019974249,https://x.com/i/web/status/1962894668019974249,"maalesef insan bazen yaptığı tatlıdan elin oğlu da yesin istiyo
#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #türkiyeyanıyor #heargazascry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet #direniş #duyuru #acilçıkış https://t.co/9snrch0feb"
#iklimkrizi,Latest,1962889542387548548,Tue Sep 02 14:45:10 +0000 2025,"Ya bıraksanaaaa sen biliyorsun benim bunlara zaafım var
#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #TürkiyeYanıyor #HearGazasCry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet https://t.co/3GTpendQdC",İSA,isacolakhan,,,,https://twitter.com/isacolakhan/status/1962889542387548548,https://x.com/i/web/status/1962889542387548548,"ya bıraksanaaaa sen biliyorsun benim bunlara zaafım var
#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #türkiyeyanıyor #heargazascry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet https://t.co/3gtpendqdc"
#iklimkrizi,Latest,1962887288435700184,Tue Sep 02 14:36:12 +0000 2025,"İleride o anı ne kadar özleyeceğinden habersiz

#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #TürkiyeYanıyor #HearGazasCry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet #direniş #duyuru #acilçıkış https://t.co/fAMyOuuL1L",Feride yeter,ferideyeterr,,,,https://twitter.com/ferideyeterr/status/1962887288435700184,https://x.com/i/web/status/1962887288435700184,"i̇leride o anı ne kadar özleyeceğinden habersiz

#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #türkiyeyanıyor #heargazascry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet #direniş #duyuru #acilçıkış https://t.co/famyouul1l"
#iklimkrizi,Latest,1962886428695675336,Tue Sep 02 14:32:47 +0000 2025,"Ya bıraksanaaaa sen biliyorsun benim bunlara zaafım var
#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #TürkiyeYanıyor #HearGazasCry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet #direniş #duyuru #acilçıkış https://t.co/0VV85GmFYB",esra demir,esra_demir_29,,,,https://twitter.com/esra_demir_29/status/1962886428695675336,https://x.com/i/web/status/1962886428695675336,"ya bıraksanaaaa sen biliyorsun benim bunlara zaafım var
#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #türkiyeyanıyor #heargazascry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet #direniş #duyuru #acilçıkış https://t.co/0vv85gmfyb"
#iklimkrizi,Latest,1962883647502999636,Tue Sep 02 14:21:44 +0000 2025,"Ya bıraksanaaaa sen biliyorsun benim bunlara zaafım var
#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #TürkiyeYanıyor #HearGazasCry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet #direniş #duyuru #acilçıkış https://t.co/yJ8wvIuMPO",Ela Aksoy,E1aAksoy,,,,https://twitter.com/E1aAksoy/status/1962883647502999636,https://x.com/i/web/status/1962883647502999636,"ya bıraksanaaaa sen biliyorsun benim bunlara zaafım var
#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #türkiyeyanıyor #heargazascry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet #direniş #duyuru #acilçıkış https://t.co/yj8wviumpo"
#iklimkrizi,Latest,1962881431790629315,Tue Sep 02 14:12:56 +0000 2025,Söylenecek söz kalmadı.. Çok istedi çok çabaladı.. Sen elinden geleni yaptın şimdi sıra bizde #Yönetimİstifa #AbdullahKavukçuİstifa #deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #TürkiyeYanıyor #HearGazasCry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi https://t.co/XRIKjSLSQ1,Ekrem,ekremserez,İstanbul ,,,https://twitter.com/ekremserez/status/1962881431790629315,https://x.com/i/web/status/1962881431790629315,söylenecek söz kalmadı.. çok istedi çok çabaladı.. sen elinden geleni yaptın şimdi sıra bizde #yönetimi̇stifa #abdullahkavukçui̇stifa #deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #türkiyeyanıyor #heargazascry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi https://t.co/xrikjslsq1
#iklimkrizi,Latest,1962881338253484457,Tue Sep 02 14:12:34 +0000 2025,"Allah'ım kahve için teşekkür ederim
#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #TürkiyeYanıyor #HearGazasCry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet #direniş #duyuru #acilçıkış https://t.co/17FRXi5FiL",Aysel Kanlı,aysellknlii,Manisa,manisa,,https://twitter.com/aysellknlii/status/1962881338253484457,https://x.com/i/web/status/1962881338253484457,"allah'ım kahve için teşekkür ederim
#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #türkiyeyanıyor #heargazascry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet #direniş #duyuru #acilçıkış https://t.co/17frxi5fil"
#iklimkrizi,Latest,1962881198117556247,Tue Sep 02 14:12:00 +0000 2025,"dünyada esi benzeri iyi gelmeyecegi hicbi mutsuzluk yoktur

#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #TürkiyeYanıyor #HearGazasCry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet #direniş #duyuru #acilçıkış https://t.co/TnoLWZlgfv",Aysel Kanlı,aysellknlii,Manisa,manisa,,https://twitter.com/aysellknlii/status/1962881198117556247,https://x.com/i/web/status/1962881198117556247,"dünyada esi benzeri iyi gelmeyecegi hicbi mutsuzluk yoktur

#deprem #tsunami #yangın #bursayanıyor #karabükyanıyor #türkiyeyanıyor #heargazascry #kademeheryerde #sondakika #acil #yardım #felaket #iklimkrizi #afad #gündem #haber #doğaafet #direniş #duyuru #acilçıkış https://t.co/tnolwzlgfv"
